DATOS DEL MODULO GPS
LAT;LON;ALT;DIL
40.404996833333335;-3.7003923333333333;628.6;0.88
40.40499766666667;-3.7003908333333335;628.6;0.90
40.40499416666667;-3.7003855;628.4;0.89
40.40500016666667;-3.7003903333333334;627.8;0.90
40.40500016666667;-3.7003863333333333;627.0;0.89
40.405000333333334;-3.700392;626.8;0.92
40.405004166666664;-3.7003985;626.9;0.89
40.4050025;-3.700382;626.7;0.85
40.405;-3.700377666666667;626.6;0.85
40.405002333333336;-3.700364;626.7;0.85
40.404999;-3.7003443333333332;627.3;0.86
40.404996833333335;-3.7003345;627.5;0.85
40.4049925;-3.7003346666666665;627.4;0.85
40.40498733333333;-3.7003285;627.2;0.86
40.40498483333333;-3.700326;627.4;0.87
40.40498633333333;-3.7003288333333333;628.2;0.86
40.40499233333333;-3.700336;628.9;0.94
40.4050005;-3.7003513333333333;629.8;0.87
40.4049985;-3.700349666666667;629.7;0.87
40.405003666666666;-3.7003541666666666;630.6;0.87
40.40500216666667;-3.7003456666666668;630.7;1.19
40.405002333333336;-3.7003356666666667;630.9;0.87
40.40500016666667;-3.7003253333333332;631.1;0.86
40.40499366666667;-3.7003085000000002;630.4;0.86
40.404992666666665;-3.7003018333333335;630.4;0.90
40.404992;-3.7003031666666666;630.3;0.94
40.40498866666667;-3.700306;629.7;0.91
40.4049955;-3.700324;630.2;0.91
40.40499483333333;-3.700323666666667;629.9;0.91
40.40499416666667;-3.7003281666666665;629.8;1.57
40.40499233333333;-3.7003173333333335;629.7;1.35
40.40498266666667;-3.7002985;629.9;1.20
40.404979833333336;-3.700286666666667;630.3;0.91
40.404980333333334;-3.7002734999999998;630.8;0.87
40.40497666666667;-3.7002665;630.8;0.87
40.40497766666667;-3.700257333333333;631.0;0.87
40.4049715;-3.7002521666666666;630.8;0.87
40.40496733333333;-3.7002465;630.9;0.87
40.40495133333334;-3.7002213333333334;630.8;0.88
40.404939;-3.700193666666667;631.4;1.36
40.4049385;-3.7001886666666666;631.4;1.23
40.4049295;-3.7001861666666667;631.4;1.23
40.40492716666667;-3.7001855;631.3;0.87
40.40493166666667;-3.7001736666666667;631.7;0.87
40.40493883333333;-3.700173;631.9;0.87
40.40495083333333;-3.70018;632.3;0.84
40.404950666666664;-3.7001765;632.9;0.83
40.40495133333334;-3.7001783333333336;633.6;0.83
40.404954;-3.7001766666666667;634.1;1.08
40.404955;-3.7001735;634.5;1.08
40.40496;-3.700172333333333;634.7;1.08
40.40496233333333;-3.700165666666667;635.4;1.08
40.404964666666665;-3.7001683333333335;636.0;1.08
40.4049615;-3.7001558333333335;636.6;1.08
40.40496383333333;-3.7001545;637.3;0.83
40.404969666666666;-3.7001473333333332;637.6;1.06
40.404966333333334;-3.7001445;637.9;1.06
40.404971;-3.7001333333333335;638.8;1.06
40.40496733333333;-3.7001253333333333;639.9;1.06
40.40496866666667;-3.7001106666666668;640.7;1.06
40.40497383333334;-3.700105833333333;641.5;1.06
40.404975666666665;-3.7001081666666664;641.9;1.06
40.404977;-3.7001028333333332;642.0;1.06
40.4049845;-3.7000926666666665;642.4;1.19
40.40499;-3.7000918333333335;642.2;1.19
40.404986;-3.7000815;641.9;0.84
40.40498383333333;-3.7000713333333333;641.3;0.82
40.404979166666664;-3.7000608333333336;641.3;0.82
40.404979;-3.7000558333333333;642.0;0.85
40.40498266666667;-3.700061;642.6;0.83
40.40499033333333;-3.70005;643.6;0.81
40.40499416666667;-3.700037;644.8;0.81
40.4049975;-3.7000205;646.5;0.81
40.405003666666666;-3.7000115;647.5;0.81
40.405009;-3.7000011666666666;649.1;0.81
40.405007;-3.700009166666667;649.0;1.05
40.40500383333333;-3.700005;648.9;1.05
40.40500016666667;-3.700011;648.6;1.05
40.4049965;-3.7000175;648.5;1.06
40.4049975;-3.700037;648.2;1.06
40.404993;-3.700046;647.5;1.06
40.40499533333333;-3.700056;646.6;1.05
40.404997;-3.70006;646.5;1.05
40.404999333333336;-3.7000711666666666;646.1;1.05
40.40499916666667;-3.7000705;646.4;1.05
40.4050045;-3.7000746666666666;646.7;1.05
40.40500766666667;-3.7000655;646.3;1.05
40.405005833333334;-3.7000736666666665;645.8;1.16
40.405004;-3.7000853333333334;645.1;1.15
40.405004166666664;-3.700101833333333;644.5;1.08
40.405002333333336;-3.700101666666667;644.4;1.08
40.40500633333333;-3.700117666666667;643.8;1.08
40.405007;-3.700136666666667;642.8;1.08
40.40500483333334;-3.700136166666667;642.1;1.08
40.40500216666667;-3.7001406666666665;641.6;1.08
40.4049995;-3.7001416666666667;640.7;0.83
40.405;-3.7001478333333333;639.2;0.87
40.4050025;-3.700145;638.8;0.88
40.405002833333334;-3.7001513333333333;638.2;0.88
40.40499916666667;-3.700149166666667;637.2;1.34
40.404999;-3.7001485;636.8;1.34
40.40500083333333;-3.7001548333333334;636.6;1.34
40.40499966666667;-3.700162333333333;636.7;0.88
40.40499466666667;-3.7001654999999998;636.4;0.88
40.40498983333333;-3.7001668333333333;635.8;0.85
40.40500433333333;-3.700212;634.5;0.85
40.405001166666665;-3.70022;633.6;0.85
40.40500466666667;-3.7002345;633.1;1.25
40.404999333333336;-3.700242333333333;632.6;1.25
40.40500183333333;-3.7002550000000003;632.3;1.25
40.4050145;-3.7002901666666665;631.8;1.25
40.405013;-3.700295166666667;631.3;1.31
