Latitude: 40.40534909, Longuitud: -3.7002141683333334,Altitud: 627.458, Dispersion Horizontal:0.54
Latitude: 40.40534876833333, Longuitud: -3.700213975,Altitud: 627.51, Dispersion Horizontal:0.54
Latitude: 40.405348295, Longuitud: -3.7002137016666667,Altitud: 627.562, Dispersion Horizontal:0.54
Latitude: 40.40534786833334, Longuitud: -3.7002134533333333,Altitud: 627.587, Dispersion Horizontal:0.54
Latitude: 40.405347565, Longuitud: -3.700213315,Altitud: 627.561, Dispersion Horizontal:0.54
Latitude: 40.405347326666664, Longuitud: -3.700213166666667,Altitud: 627.568, Dispersion Horizontal:0.54
Latitude: 40.40534714, Longuitud: -3.7002131533333333,Altitud: 627.534, Dispersion Horizontal:0.54
Latitude: 40.405346746666666, Longuitud: -3.700212935,Altitud: 627.558, Dispersion Horizontal:0.54
Latitude: 40.40534642833333, Longuitud: -3.700212791666667,Altitud: 627.545, Dispersion Horizontal:0.54
Latitude: 40.40534614333333, Longuitud: -3.70021271,Altitud: 627.539, Dispersion Horizontal:0.54
Latitude: 40.405345833333335, Longuitud: -3.700212596666667,Altitud: 627.537, Dispersion Horizontal:0.54
Latitude: 40.40534551166667, Longuitud: -3.7002124766666666,Altitud: 627.526, Dispersion Horizontal:0.54
Latitude: 40.405345233333335, Longuitud: -3.7002124316666665,Altitud: 627.486, Dispersion Horizontal:0.54
Latitude: 40.40534515666667, Longuitud: -3.70021243,Altitud: 627.458, Dispersion Horizontal:0.54
Latitude: 40.40534486, Longuitud: -3.7002122766666665,Altitud: 627.448, Dispersion Horizontal:0.52
Latitude: 40.405344541666665, Longuitud: -3.700212065,Altitud: 627.456, Dispersion Horizontal:0.52
Latitude: 40.405344415, Longuitud: -3.7002119633333335,Altitud: 627.418, Dispersion Horizontal:0.54
Latitude: 40.40534434333333, Longuitud: -3.700211863333333,Altitud: 627.387, Dispersion Horizontal:0.54
Latitude: 40.405344305, Longuitud: -3.7002117266666668,Altitud: 627.39, Dispersion Horizontal:0.54
Latitude: 40.405344191666664, Longuitud: -3.70021152,Altitud: 627.384, Dispersion Horizontal:0.54
Latitude: 40.405344138333334, Longuitud: -3.7002113933333334,Altitud: 627.348, Dispersion Horizontal:0.54
Latitude: 40.405343985, Longuitud: -3.7002112,Altitud: 627.353, Dispersion Horizontal:0.54
Latitude: 40.40534382, Longuitud: -3.700211065,Altitud: 627.352, Dispersion Horizontal:0.54
Latitude: 40.405343765, Longuitud: -3.7002109266666667,Altitud: 627.333, Dispersion Horizontal:0.54
Latitude: 40.405343695, Longuitud: -3.700210778333333,Altitud: 627.333, Dispersion Horizontal:0.54
Latitude: 40.40534360666667, Longuitud: -3.7002105283333333,Altitud: 627.361, Dispersion Horizontal:0.55
Latitude: 40.40534344333334, Longuitud: -3.7002102616666668,Altitud: 627.384, Dispersion Horizontal:0.53
Latitude: 40.405343458333334, Longuitud: -3.70021009,Altitud: 627.409, Dispersion Horizontal:0.52
Latitude: 40.40534347, Longuitud: -3.7002098583333334,Altitud: 627.452, Dispersion Horizontal:0.52
Latitude: 40.40534349833333, Longuitud: -3.700209671666667,Altitud: 627.509, Dispersion Horizontal:0.55
Latitude: 40.405343575, Longuitud: -3.7002095616666666,Altitud: 627.553, Dispersion Horizontal:0.55
Latitude: 40.405343736666666, Longuitud: -3.7002094333333333,Altitud: 627.607, Dispersion Horizontal:0.55
Latitude: 40.405343853333335, Longuitud: -3.7002093333333335,Altitud: 627.649, Dispersion Horizontal:0.55
Latitude: 40.405344033333336, Longuitud: -3.7002093583333333,Altitud: 627.638, Dispersion Horizontal:0.56
Latitude: 40.40534425333333, Longuitud: -3.7002093216666667,Altitud: 627.643, Dispersion Horizontal:0.56
Latitude: 40.40534445833333, Longuitud: -3.700209296666667,Altitud: 627.66, Dispersion Horizontal:0.56
Latitude: 40.40534471833333, Longuitud: -3.7002093316666667,Altitud: 627.67, Dispersion Horizontal:0.56
Latitude: 40.40534497666667, Longuitud: -3.700209381666667,Altitud: 627.669, Dispersion Horizontal:0.56
Latitude: 40.405345235, Longuitud: -3.700209373333333,Altitud: 627.674, Dispersion Horizontal:0.56
Latitude: 40.40534553333333, Longuitud: -3.7002094283333333,Altitud: 627.652, Dispersion Horizontal:0.56
Latitude: 40.405345835, Longuitud: -3.7002094733333335,Altitud: 627.655, Dispersion Horizontal:0.56
Latitude: 40.405346226666666, Longuitud: -3.7002094999999997,Altitud: 627.67, Dispersion Horizontal:0.56
Latitude: 40.40534664, Longuitud: -3.700209593333333,Altitud: 627.659, Dispersion Horizontal:0.56
Latitude: 40.405347078333335, Longuitud: -3.700209668333333,Altitud: 627.659, Dispersion Horizontal:0.56
Latitude: 40.40534756666667, Longuitud: -3.7002097233333333,Altitud: 627.698, Dispersion Horizontal:0.56
Latitude: 40.40534804666667, Longuitud: -3.70020988,Altitud: 627.704, Dispersion Horizontal:0.55
Latitude: 40.405348581666665, Longuitud: -3.7002099833333335,Altitud: 627.715, Dispersion Horizontal:0.52
Latitude: 40.40534915, Longuitud: -3.700210041666667,Altitud: 627.711, Dispersion Horizontal:0.55
Latitude: 40.405349793333336, Longuitud: -3.7002100633333335,Altitud: 627.726, Dispersion Horizontal:0.55
Latitude: 40.405350483333336, Longuitud: -3.700210195,Altitud: 627.704, Dispersion Horizontal:0.53
Latitude: 40.40535105833333, Longuitud: -3.700210345,Altitud: 627.679, Dispersion Horizontal:0.53
Latitude: 40.405351583333335, Longuitud: -3.7002104183333335,Altitud: 627.654, Dispersion Horizontal:0.53
Latitude: 40.40535207, Longuitud: -3.7002104816666668,Altitud: 627.637, Dispersion Horizontal:0.53
Latitude: 40.405352605, Longuitud: -3.700210691666667,Altitud: 627.573, Dispersion Horizontal:0.56
Latitude: 40.40535301833334, Longuitud: -3.7002108583333335,Altitud: 627.531, Dispersion Horizontal:0.56
Latitude: 40.40535346833333, Longuitud: -3.700210985,Altitud: 627.513, Dispersion Horizontal:0.56
Latitude: 40.405353948333335, Longuitud: -3.7002110816666667,Altitud: 627.492, Dispersion Horizontal:0.56
Latitude: 40.405354385, Longuitud: -3.7002112483333334,Altitud: 627.447, Dispersion Horizontal:0.56
Latitude: 40.405354808333335, Longuitud: -3.7002113783333335,Altitud: 627.414, Dispersion Horizontal:0.56
Latitude: 40.40535528666667, Longuitud: -3.70021147,Altitud: 627.382, Dispersion Horizontal:0.52
Latitude: 40.405355756666665, Longuitud: -3.7002115283333334,Altitud: 627.379, Dispersion Horizontal:0.52
Latitude: 40.405356166666664, Longuitud: -3.700211648333333,Altitud: 627.354, Dispersion Horizontal:0.52
Latitude: 40.40535655833333, Longuitud: -3.700211735,Altitud: 627.324, Dispersion Horizontal:0.52
Latitude: 40.40535693166667, Longuitud: -3.700211858333333,Altitud: 627.302, Dispersion Horizontal:0.52
Latitude: 40.405357396666666, Longuitud: -3.7002119583333335,Altitud: 627.289, Dispersion Horizontal:0.52
Latitude: 40.40535785, Longuitud: -3.70021206,Altitud: 627.248, Dispersion Horizontal:0.52
Latitude: 40.405358265, Longuitud: -3.7002121233333334,Altitud: 627.208, Dispersion Horizontal:0.52
Latitude: 40.40535869166666, Longuitud: -3.7002122433333335,Altitud: 627.176, Dispersion Horizontal:0.52
Latitude: 40.40535914, Longuitud: -3.7002124116666666,Altitud: 627.13, Dispersion Horizontal:0.52
Latitude: 40.405359606666664, Longuitud: -3.700212516666667,Altitud: 627.095, Dispersion Horizontal:0.53
Latitude: 40.405360165, Longuitud: -3.7002126533333333,Altitud: 627.043, Dispersion Horizontal:0.53
Latitude: 40.40536067, Longuitud: -3.700212811666667,Altitud: 626.959, Dispersion Horizontal:0.53
Latitude: 40.40536108333333, Longuitud: -3.7002128783333332,Altitud: 626.922, Dispersion Horizontal:0.53
Latitude: 40.40536162666667, Longuitud: -3.700213015,Altitud: 626.876, Dispersion Horizontal:0.52
Latitude: 40.4053621, Longuitud: -3.7002132233333334,Altitud: 626.841, Dispersion Horizontal:0.53
Latitude: 40.40536252, Longuitud: -3.7002133633333334,Altitud: 626.818, Dispersion Horizontal:0.53
Latitude: 40.405362885, Longuitud: -3.700213475,Altitud: 626.806, Dispersion Horizontal:0.52
Latitude: 40.405363265, Longuitud: -3.7002136633333333,Altitud: 626.768, Dispersion Horizontal:0.53
Latitude: 40.405363665, Longuitud: -3.70021381,Altitud: 626.752, Dispersion Horizontal:0.53
Latitude: 40.40536415, Longuitud: -3.7002140150000002,Altitud: 626.708, Dispersion Horizontal:0.53
Latitude: 40.40536456666667, Longuitud: -3.70021418,Altitud: 626.655, Dispersion Horizontal:0.53
Latitude: 40.40536481833333, Longuitud: -3.700214251666667,Altitud: 626.628, Dispersion Horizontal:0.53
Latitude: 40.405365188333334, Longuitud: -3.7002144683333333,Altitud: 626.584, Dispersion Horizontal:0.54
Latitude: 40.40536541833333, Longuitud: -3.7002147216666668,Altitud: 626.528, Dispersion Horizontal:0.56
Latitude: 40.40536552, Longuitud: -3.7002149116666665,Altitud: 626.472, Dispersion Horizontal:0.56
Latitude: 40.40536555833334, Longuitud: -3.700215081666667,Altitud: 626.421, Dispersion Horizontal:0.54
Latitude: 40.40536555166667, Longuitud: -3.700215215,Altitud: 626.394, Dispersion Horizontal:0.55
Latitude: 40.405365735, Longuitud: -3.7002153483333333,Altitud: 626.354, Dispersion Horizontal:0.57
Latitude: 40.40536577, Longuitud: -3.700215378333333,Altitud: 626.323, Dispersion Horizontal:0.57
Latitude: 40.40536573, Longuitud: -3.7002155183333336,Altitud: 626.228, Dispersion Horizontal:0.65
Latitude: 40.40536590833333, Longuitud: -3.7002157083333334,Altitud: 626.158, Dispersion Horizontal:0.59
Latitude: 40.40536601833333, Longuitud: -3.7002158383333335,Altitud: 626.118, Dispersion Horizontal:0.59
Latitude: 40.40536621166667, Longuitud: -3.7002160166666664,Altitud: 626.041, Dispersion Horizontal:0.59
Latitude: 40.405366441666665, Longuitud: -3.7002162083333334,Altitud: 625.96, Dispersion Horizontal:0.64
Latitude: 40.40536666166667, Longuitud: -3.7002163683333333,Altitud: 625.887, Dispersion Horizontal:0.64
Latitude: 40.405366773333334, Longuitud: -3.7002165833333334,Altitud: 625.816, Dispersion Horizontal:0.64
Latitude: 40.40536689333333, Longuitud: -3.7002167633333336,Altitud: 625.741, Dispersion Horizontal:0.65
Latitude: 40.40536688666667, Longuitud: -3.700216945,Altitud: 625.669, Dispersion Horizontal:0.65
Latitude: 40.40536689666666, Longuitud: -3.7002171033333333,Altitud: 625.557, Dispersion Horizontal:0.61
Latitude: 40.405366963333336, Longuitud: -3.700217285,Altitud: 625.453, Dispersion Horizontal:0.61
Latitude: 40.405367098333336, Longuitud: -3.7002175066666667,Altitud: 625.376, Dispersion Horizontal:0.61
Latitude: 40.40536733333333, Longuitud: -3.7002178150000002,Altitud: 625.253, Dispersion Horizontal:0.61
Latitude: 40.405367381666665, Longuitud: -3.700217975,Altitud: 625.173, Dispersion Horizontal:0.61
Latitude: 40.40536733, Longuitud: -3.70021802,Altitud: 625.101, Dispersion Horizontal:0.58
Latitude: 40.40536721833333, Longuitud: -3.700218136666667,Altitud: 625.004, Dispersion Horizontal:0.58
Latitude: 40.405367076666664, Longuitud: -3.70021813,Altitud: 624.946, Dispersion Horizontal:0.60
Latitude: 40.405366998333335, Longuitud: -3.7002181833333334,Altitud: 624.886, Dispersion Horizontal:0.58
Latitude: 40.40536697833333, Longuitud: -3.7002183,Altitud: 624.773, Dispersion Horizontal:0.58
Latitude: 40.40536702666667, Longuitud: -3.7002183916666667,Altitud: 624.7, Dispersion Horizontal:0.58
Latitude: 40.40536695666667, Longuitud: -3.7002183933333335,Altitud: 624.656, Dispersion Horizontal:0.58
Latitude: 40.405366953333335, Longuitud: -3.700218425,Altitud: 624.569, Dispersion Horizontal:0.61
Latitude: 40.405367086666665, Longuitud: -3.700218511666667,Altitud: 624.517, Dispersion Horizontal:0.61
Latitude: 40.405367205, Longuitud: -3.7002186216666666,Altitud: 624.479, Dispersion Horizontal:0.60
Latitude: 40.40536732666666, Longuitud: -3.7002187966666664,Altitud: 624.399, Dispersion Horizontal:0.61
Latitude: 40.405367393333336, Longuitud: -3.7002188683333332,Altitud: 624.349, Dispersion Horizontal:0.61
Latitude: 40.40536724166667, Longuitud: -3.7002188916666667,Altitud: 624.327, Dispersion Horizontal:0.61
Latitude: 40.40536702333333, Longuitud: -3.7002188516666665,Altitud: 624.284, Dispersion Horizontal:0.61
Latitude: 40.40536678666667, Longuitud: -3.7002188,Altitud: 624.265, Dispersion Horizontal:0.61
Latitude: 40.405366635, Longuitud: -3.70021879,Altitud: 624.201, Dispersion Horizontal:0.61
Latitude: 40.40536668166666, Longuitud: -3.7002189283333333,Altitud: 624.099, Dispersion Horizontal:0.61
Latitude: 40.40536685166666, Longuitud: -3.7002191283333334,Altitud: 624.013, Dispersion Horizontal:0.61
Latitude: 40.40536699166667, Longuitud: -3.7002192750000003,Altitud: 623.964, Dispersion Horizontal:0.60
Latitude: 40.40536709166667, Longuitud: -3.700219485,Altitud: 623.879, Dispersion Horizontal:0.59
Latitude: 40.405367041666665, Longuitud: -3.700219635,Altitud: 623.82, Dispersion Horizontal:0.59
Latitude: 40.405366985, Longuitud: -3.7002198516666667,Altitud: 623.729, Dispersion Horizontal:0.59
Latitude: 40.405366945, Longuitud: -3.700220065,Altitud: 623.65, Dispersion Horizontal:0.59
Latitude: 40.40536685, Longuitud: -3.700220135,Altitud: 623.604, Dispersion Horizontal:0.56
Latitude: 40.40536671666667, Longuitud: -3.70022017,Altitud: 623.573, Dispersion Horizontal:0.59
Latitude: 40.405366725, Longuitud: -3.7002203216666665,Altitud: 623.482, Dispersion Horizontal:0.59
Latitude: 40.40536663, Longuitud: -3.7002203816666666,Altitud: 623.414, Dispersion Horizontal:0.59
Latitude: 40.405366535, Longuitud: -3.7002203483333336,Altitud: 623.4, Dispersion Horizontal:0.59
Latitude: 40.40536647166667, Longuitud: -3.7002203583333335,Altitud: 623.364, Dispersion Horizontal:0.59
